plant,oc_ext_12m,lineas_12m,proveedores_12m,ult_oc_ext,oc_ext_24m,traslados_12m,ventana_desde,ventana_hasta,extraido
M539,481,4067,14,2026-09-24,792,447,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M540,52,77,9,2026-08-24,136,620,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M541,0,0,0,,0,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M542,0,0,0,,0,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M543,351,2980,15,2026-09-24,621,1270,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M544,0,0,0,,0,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M545,194,1715,11,2026-09-24,352,707,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M546,211,1360,4,2026-09-23,407,2,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M547,4,113,3,2026-04-02,9,500,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M548,257,1808,15,2026-09-22,488,1115,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M549,184,1196,13,2026-09-22,295,123,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M601,148,593,12,2026-09-22,242,171,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M602,4,15,4,2026-08-10,8,2,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M603,235,2134,13,2026-09-22,429,2410,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M604,123,623,8,2026-09-22,209,380,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M605,0,0,0,,0,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M606,264,3095,13,2026-09-22,493,400,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M607,0,0,0,,0,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M608,368,4010,17,2202-09-08,647,2274,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M609,155,1318,15,2026-09-24,398,1265,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M610,353,3824,15,2026-09-24,681,2039,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M611,287,2834,12,2026-09-21,635,2209,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M612,0,0,0,,0,1,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M613,2,15,2,2026-02-10,3,113,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M614,0,0,0,,0,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M615,273,2441,13,2026-09-23,531,412,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M616,77,646,5,2026-09-23,155,6,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M617,115,709,5,2026-09-17,229,70,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M618,1,7,1,2026-01-16,4,157,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M619,3,47,3,2026-02-06,7,539,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M620,0,0,0,,0,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M621,236,2200,14,2026-09-22,436,956,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M622,223,2292,13,2026-09-22,420,1766,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M623,79,664,5,2026-09-18,147,88,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M624,125,735,12,2026-09-22,184,163,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M625,71,493,3,2026-09-22,98,77,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M626,0,0,0,,0,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M627,17,736,10,2026-09-24,17,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
